iter	Logloss
0	0.6440217465
1	0.6077868838
2	0.5825948682
3	0.5605103667
4	0.5459566767
5	0.5333004434
6	0.5223292535
7	0.5054125788
8	0.4833912597
9	0.4723367395
10	0.4569859478
11	0.4487253877
12	0.443198403
13	0.4374954309
14	0.426335394
15	0.4130299161
16	0.4025226768
17	0.3945323889
18	0.3807577521
19	0.37561681
20	0.3668862387
21	0.3588206586
22	0.3540718605
23	0.3451883814
24	0.3390853227
25	0.3367569593
26	0.3333208591
27	0.3269729031
28	0.3225438589
29	0.3175131693
30	0.3111715909
31	0.3075316679
32	0.3022024259
33	0.2956105262
34	0.2936059782
35	0.290951797
36	0.2872468005
37	0.2822933662
38	0.280589763
39	0.2782702579
40	0.2734295364
41	0.272046935
42	0.2698300346
43	0.2667306075
44	0.2625357754
45	0.2596245366
46	0.2574663366
47	0.2564708125
48	0.2537597379
49	0.2505943811
50	0.2484862363
51	0.2463855914
52	0.2451720329
53	0.2443491562
54	0.242038524
55	0.2406061608
56	0.2372889895
57	0.2365167267
58	0.2361500836
59	0.2351990226
60	0.2335536142
61	0.2330577984
62	0.2316137875
63	0.2300411494
64	0.2283001961
65	0.2272263201
66	0.2259511801
67	0.224455941
68	0.2229517616
69	0.2214256774
70	0.2202626346
71	0.2199683766
72	0.2182914467
73	0.2174628671
74	0.2171851966
75	0.2166960457
76	0.2162342895
77	0.2151207326
78	0.2147111664
79	0.2140962225
80	0.2135459044
81	0.2127937193
82	0.2120976284
83	0.2116527623
84	0.2113573941
85	0.2110891247
86	0.2107365322
87	0.2103159146
88	0.2101151251
89	0.2094769662
90	0.2087964257
91	0.2084317279
92	0.2079298159
93	0.2065313543
94	0.2061810284
95	0.2058881918
96	0.2057159424
97	0.2050787416
98	0.2049249883
99	0.204172286
100	0.2031769745
101	0.2030205019
102	0.2026963615
103	0.2019695853
104	0.2016410873
105	0.2013978112
106	0.2004310026
107	0.2001014847
108	0.1996479048
109	0.1990687012
110	0.198399275
111	0.1981448494
112	0.1980179757
113	0.1977034467
114	0.1972298145
115	0.1967047522
116	0.1964928543
117	0.1958801166
118	0.1953734071
119	0.1952409506
120	0.1949303224
121	0.1947625466
122	0.1943002208
123	0.1941105622
124	0.1938056197
125	0.1936720436
126	0.1935721278
127	0.1934344207
128	0.193213824
129	0.192996365
130	0.1929107065
131	0.1927899335
132	0.1925348241
133	0.1922580295
134	0.1920696514
135	0.1919024715
136	0.19141507
137	0.1912325712
138	0.1910946619
139	0.1909579317
140	0.1905859043
141	0.1904552211
142	0.1903029904
143	0.1902316107
144	0.1901620255
145	0.1898858605
146	0.1897993292
147	0.1896376083
148	0.1893393115
149	0.1892618832
150	0.1891907274
151	0.1891087626
152	0.1889475011
153	0.188849332
154	0.1885515507
155	0.1884638471
156	0.18818313
157	0.1878739206
158	0.1875978437
159	0.1874431202
160	0.1873043357
161	0.1870735359
162	0.1867135243
163	0.1862915358
164	0.1861742361
165	0.1860893619
166	0.1857775723
167	0.1856887109
168	0.1854770307
169	0.1851750846
170	0.1848951134
171	0.1847410686
172	0.184530524
173	0.1843513167
174	0.1842107726
175	0.1835768287
176	0.1834454823
177	0.1833508643
178	0.1832762279
179	0.1831682601
180	0.1829370872
181	0.1823505677
182	0.1821487868
183	0.1818942199
184	0.1817511185
185	0.1816460919
186	0.1814729065
187	0.1812037189
188	0.1810896878
189	0.1809881992
190	0.1806829363
191	0.1805409746
192	0.1803622241
193	0.1800446398
194	0.179721226
195	0.1792959576
196	0.1788558136
197	0.1785130139
198	0.1783954435
199	0.1783271065
200	0.1780842009
201	0.1776144297
202	0.1773688952
203	0.1772706108
204	0.1771963096
205	0.1771171171
206	0.1770346774
207	0.1767202605
208	0.1765666008
209	0.1764521423
210	0.176269019
211	0.1758422982
212	0.1756608119
213	0.175257609
214	0.1751397949
215	0.175052181
216	0.1749344934
217	0.1745758087
218	0.1744996172
219	0.1742949516
220	0.1741927493
221	0.174105938
222	0.1740332835
223	0.1737360303
224	0.1734688362
225	0.1732030933
226	0.173100362
227	0.1730099302
228	0.1728372679
229	0.1724760796
230	0.1723933809
231	0.1723119969
232	0.1720163199
233	0.1719485297
234	0.1718010507
235	0.1717407114
236	0.1715390709
237	0.1714072696
238	0.171162103
239	0.1709652985
240	0.1709104974
241	0.170842606
242	0.1706672668
243	0.1705871965
244	0.170373589
245	0.170230073
246	0.1701738945
247	0.1700885379
248	0.1700129125
249	0.169847529
250	0.1697949036
251	0.1695957191
252	0.1693370023
253	0.1691347585
254	0.1689529743
255	0.1688703496
256	0.1687690538
257	0.1686344553
258	0.1685592388
259	0.1684883712
260	0.1684064293
261	0.1683396099
262	0.1682403057
263	0.1681301719
264	0.1680479223
265	0.1679671988
266	0.1678611433
267	0.1677764598
268	0.1675817542
269	0.1675066626
270	0.1674483676
271	0.1672570286
272	0.1671937632
273	0.1669736346
274	0.1669044382
275	0.1668332525
276	0.1665320172
277	0.1664835768
278	0.1664309112
279	0.1663767796
280	0.1663545065
281	0.1661848115
282	0.1661286743
283	0.1660614548
284	0.1660394922
285	0.1660044165
286	0.1659440442
287	0.1658553535
288	0.165786527
289	0.1657080961
290	0.1656711876
291	0.1656283758
292	0.1655607562
293	0.1654377684
294	0.1653383808
295	0.165029934
296	0.1649231186
297	0.1645890268
298	0.1645195059
299	0.1643040395
300	0.1642526099
301	0.1640972506
302	0.1640464354
303	0.1639726899
304	0.1639169606
305	0.1637964285
306	0.1637245823
307	0.1637079019
308	0.1635319696
309	0.1634184533
310	0.1632730043
311	0.1632298903
312	0.1631816727
313	0.1631091929
314	0.1630491942
315	0.1629311665
316	0.1628608033
317	0.1628358462
318	0.1627323905
319	0.1626878304
320	0.1626346303
321	0.1625499952
322	0.1624734584
323	0.1623973767
324	0.1623275579
325	0.1622480247
326	0.1621759123
327	0.1620840938
328	0.1619360609
329	0.1618784044
330	0.1617629701
331	0.1617077166
332	0.1616499321
333	0.1616092118
334	0.1615695856
335	0.1615041484
336	0.1614079588
337	0.161311856
338	0.1611758035
339	0.1611582239
340	0.1610982536
341	0.1610714862
342	0.1610109698
343	0.1609693957
344	0.1608994379
345	0.1607789302
346	0.1606293488
347	0.1605709922
348	0.1605155701
349	0.1604251478
350	0.1603718497
351	0.1602999115
352	0.1602368744
353	0.1602213396
354	0.1601634254
355	0.1600961041
356	0.1600425242
357	0.1599955659
358	0.1599093714
359	0.1598763334
360	0.1598042784
361	0.1597484101
362	0.1597281453
363	0.1596618512
364	0.1595956006
365	0.1595390959
366	0.1594797831
367	0.1594193512
368	0.1593190877
369	0.159217448
370	0.1591615999
371	0.1591028948
372	0.1590592727
373	0.1588841628
374	0.1588313695
375	0.1587836965
376	0.1587138849
377	0.1586321364
378	0.1585909978
379	0.158554589
380	0.1585207825
381	0.1584228331
382	0.1583846319
383	0.1583360903
384	0.158268098
385	0.1582156709
386	0.1581280928
387	0.1580870579
388	0.1580449899
389	0.1580129125
390	0.1579404982
391	0.1579191076
392	0.1578083849
393	0.157728201
394	0.1576718918
395	0.1576234479
396	0.1575859714
397	0.157540224
398	0.1574714274
399	0.1574209928
400	0.157361954
401	0.157261227
402	0.1571709648
403	0.1570955761
404	0.1570458035
405	0.1569908925
406	0.1568994735
407	0.1568057274
408	0.1567200112
409	0.1565749259
410	0.15650328
411	0.1564489447
412	0.1564140245
413	0.156362548
414	0.1562996835
415	0.1562434126
416	0.1562196665
417	0.1560896805
418	0.15604295
419	0.1560175576
420	0.1559341063
421	0.155857051
422	0.1557949558
423	0.1556942905
424	0.1556146452
425	0.1555519117
426	0.1555069495
427	0.1554304384
428	0.1553575296
429	0.1553048023
430	0.1552513409
431	0.1551604727
432	0.1550936466
433	0.1550551287
434	0.1550274066
435	0.1549801895
436	0.1549250958
437	0.1548708285
438	0.1548201086
439	0.1547898712
440	0.1547322908
441	0.1546712141
442	0.1545821483
443	0.1545517866
444	0.1545375995
445	0.154498339
446	0.1544402429
447	0.1544259021
448	0.1543964041
449	0.1543454647
450	0.154290293
451	0.1542176513
452	0.1541427861
453	0.1541133108
454	0.1540800719
455	0.1540492457
456	0.1539808131
457	0.1538866461
458	0.153845417
459	0.1537867793
460	0.1537171075
461	0.1536626768
462	0.1536076445
463	0.1535408819
464	0.1534277147
465	0.1533936836
466	0.153338823
467	0.1532735762
468	0.1532153757
469	0.1531305346
470	0.1530003835
471	0.1529488349
472	0.1529033469
473	0.1528799032
474	0.1527968099
475	0.1527494212
476	0.1526715297
477	0.1525784494
478	0.1525098248
479	0.1524706693
480	0.1523985545
481	0.1523099704
482	0.1522583358
483	0.1522205567
484	0.1521868035
485	0.152136698
486	0.1520663502
487	0.1520402372
488	0.151996267
489	0.1519592109
490	0.1519159282
491	0.1518654525
492	0.1517773389
493	0.1517174573
494	0.1516233308
495	0.151573808
496	0.151525259
497	0.1514953426
498	0.1514667848
499	0.1514145829
500	0.1513578508
501	0.1513026911
502	0.1512629186
503	0.1512239952
504	0.1511702262
505	0.1511367493
506	0.1511234853
507	0.1510763806
508	0.1510160912
509	0.1509653418
510	0.1508509363
511	0.1508012832
512	0.1507174238
513	0.1506770282
514	0.1506210639
515	0.1505647915
516	0.1505524077
517	0.1504999459
518	0.1504640145
519	0.1504318314
520	0.1503753918
521	0.1503310948
522	0.1502900862
523	0.1502325582
524	0.1501346292
525	0.1500806098
526	0.1500504746
527	0.1500138081
528	0.1499081752
529	0.1498258916
530	0.1498064152
531	0.1497513836
532	0.1496722808
533	0.1495946964
534	0.1495331496
535	0.1494858096
536	0.1494405889
537	0.1492959001
538	0.14923318
539	0.1492131486
540	0.1491928185
541	0.1491383556
542	0.1491002317
543	0.1490789034
544	0.1490523493
545	0.1490129973
546	0.1489666636
547	0.1489124852
548	0.1488477393
549	0.1488049999
550	0.1487647704
551	0.1487097473
552	0.1486540924
553	0.1485796565
554	0.1485350784
555	0.1484887105
556	0.1484259804
557	0.1484043421
558	0.1483690192
559	0.1483253377
560	0.1482749498
561	0.1482423871
562	0.1482022332
563	0.1481857977
564	0.1481488062
565	0.148014114
566	0.1479872734
567	0.1479523126
568	0.1479162849
569	0.1478927036
570	0.1478501188
571	0.1478193124
572	0.1477469548
573	0.1477192175
574	0.1476957441
575	0.1476477397
576	0.1476082646
577	0.1475935144
578	0.1475615046
579	0.1475342536
580	0.147477516
581	0.1474237619
582	0.1473626761
583	0.1472921572
584	0.147255034
585	0.1472194959
586	0.1471677006
587	0.1471257504
588	0.1470693064
589	0.1470020896
590	0.1469646184
591	0.1469183773
592	0.1468847266
593	0.1468576181
594	0.1468215653
595	0.146785617
596	0.1467448224
597	0.1466995788
598	0.1466716299
599	0.1466476085
600	0.1466011019
601	0.146529558
602	0.1464507996
603	0.1463954572
604	0.1463373316
605	0.146305223
606	0.1462626406
607	0.1462289045
608	0.1461971399
609	0.1461530674
610	0.1460986273
611	0.1460629425
612	0.1460214653
613	0.1460020649
614	0.14597166
615	0.1459189252
616	0.1458033906
617	0.145755629
618	0.1457261341
619	0.1456668443
620	0.145610599
621	0.145560427
622	0.145528655
623	0.1454605074
624	0.1454323748
625	0.1454075038
626	0.1453304941
627	0.1452804196
628	0.1452432269
629	0.1451993673
630	0.1451767734
631	0.1451365766
632	0.1450413298
633	0.1450109611
634	0.1449840364
635	0.144964201
636	0.1449161476
637	0.1448365119
638	0.1448056818
639	0.1447772426
640	0.1447271355
641	0.1446600775
642	0.1446069266
643	0.1445719721
644	0.1445430098
645	0.1445062218
646	0.1444774757
647	0.1444386702
648	0.1443651754
649	0.1442803685
650	0.1442493857
651	0.1442076166
652	0.1441668232
653	0.1441167807
654	0.1440781004
655	0.1440374192
656	0.1440208179
657	0.1439644904
658	0.1439314488
659	0.143893595
660	0.1438351638
661	0.1437875911
662	0.1437470605
663	0.1436933602
664	0.1436629301
665	0.143622054
666	0.1435792575
667	0.143535039
668	0.1435094638
669	0.1434617915
670	0.1434281602
671	0.1433910929
672	0.1433602849
673	0.1433115606
674	0.1432447815
675	0.1432236045
676	0.1431763614
677	0.143129609
678	0.143113457
679	0.1430807076
680	0.1430487169
681	0.143021004
682	0.1430057053
683	0.1429811459
684	0.1429264376
685	0.142889756
686	0.1428817536
687	0.1428503269
688	0.1428299382
689	0.1427958428
690	0.1427513481
691	0.1427191149
692	0.1426757183
693	0.1426344026
694	0.1425588475
695	0.1424526362
696	0.1424302806
697	0.1423889066
698	0.1423552924
699	0.1423290151
700	0.1422755674
